form_template_id,submitted_by_user_id,submission_timestamp,data,context_entity_type,context_entity_id,notes,id,created_date,updated_date,created_by_id,created_by,is_sample
"683c58a29dcdc70a5be3f2e4","68306aee157222eb321f6d20","2025-06-01T14:00:42.321Z","{""""field_1748785122074_5vu3o"""":"""""""",""""field_1748785165423_svigf"""":"""""""",""""field_1748785218139_ptbtk"""":"""""""",""""field_1748785238472_ckfxz"""":"""""""",""""field_1748785268428_b6wu2"""":"""""""",""""field_1748785282244_rvuw4"""":""""""""}","IncidentStepExecution","683c5a8e2ac6343e3ab36247_2_new","null","683c5d0b3e40f96d582ed937","2025-06-01T14:00:43.019000","2025-06-01T14:00:43.019000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"683c58a29dcdc70a5be3f2e4","68306aee157222eb321f6d20","2025-06-01T14:05:51.558Z","{""""field_1748785122074_5vu3o"""":"""""""",""""field_1748785165423_svigf"""":"""""""",""""field_1748785218139_ptbtk"""":"""""""",""""field_1748785238472_ckfxz"""":"""""""",""""field_1748785268428_b6wu2"""":"""""""",""""field_1748785282244_rvuw4"""":""""""""}","IncidentStepExecution","683c5d733e40f96d582edb99_2_new","null","683c5e403e40f96d582edefb","2025-06-01T14:05:52.328000","2025-06-01T14:05:52.328000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"683c48ab5c9658330c34d25c","68306aee157222eb321f6d20","2025-06-01T14:12:00.254Z","{""""field_1748781209339_aiqj7"""":"""""""",""""field_1748784488898_5xon0"""":""""""""}","IncidentStepExecution","683c5f9377c972dd28840132_2_new","null","683c5fb23e40f96d582ee685","2025-06-01T14:12:02.120000","2025-06-01T14:12:02.120000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"683c4c9b3a737f6caaaf08d4","68306aee157222eb321f6d20","2025-06-01T14:16:32.552Z","{""""field_1748782167978_kba8p"""":"""""""",""""field_1748782194228_s7ij4"""":"""""""",""""field_1748782218970_51n5j"""":""""""""}","IncidentStepExecution","683c5f9377c972dd28840132_4_new","null","683c60c177c972dd28840636","2025-06-01T14:16:33.410000","2025-06-01T14:16:33.410000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"6832fe618fd6aab289817880","68306aee157222eb321f6d20","2025-06-03T09:17:07.987Z","{""""field_1748172288534_gws46"""":[],""""field_1748172341559_wopg6"""":"""""""",""""field_1748172364097_xowv7"""":""""""""}","IncidentStepExecution","683ebd582aae1e8a1b6f5273_1_new","null","683ebd94ea8281fb6396f7e2","2025-06-03T09:17:08.530000","2025-06-03T09:17:08.530000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"683c58a29dcdc70a5be3f2e4","68306aee157222eb321f6d20","2025-06-03T09:20:00.566Z","{""""field_1748785122074_5vu3o"""":"""""""",""""field_1748785165423_svigf"""":"""""""",""""field_1748785218139_ptbtk"""":"""""""",""""field_1748785238472_ckfxz"""":"""""""",""""field_1748785268428_b6wu2"""":"""""""",""""field_1748785282244_rvuw4"""":""""""""}","IncidentStepExecution","683ebdef39a80187810d6f34_2_new","null","683ebe4039a80187810d6ffa","2025-06-03T09:20:00.864000","2025-06-03T09:20:00.864000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"683c48ab5c9658330c34d25c","68306aee157222eb321f6d20","2025-06-04T07:27:15.642Z","{""""field_1748781209339_aiqj7"""":"""""""",""""field_1748784488898_5xon0"""":""""""""}","IncidentStepExecution","683ff49471711d8bb454c922_2_new","null","683ff55471711d8bb454ce2e","2025-06-04T07:27:16.246000","2025-06-04T07:27:16.246000","67b852b6056a78f9ffbfd819","kligerai123@gmail.com","false"
"683c58a29dcdc70a5be3f2e4","68455c79b5382e95f357ad57","2025-06-08T10:01:54.593Z","{""""field_1748785122074_5vu3o"""":"""""""",""""field_1748785165423_svigf"""":"""""""",""""field_1748785218139_ptbtk"""":"""""""",""""field_1748785238472_ckfxz"""":"""""""",""""field_1748785268428_b6wu2"""":"""""""",""""field_1748785282244_rvuw4"""":""""""""}","IncidentStepExecution","68455d4c8b7e84cd4b35d8f9_2_new","null","68455f934d51cbbc240b9c99","2025-06-08T10:01:55.066000","2025-06-08T10:01:55.066000","68455c79b5382e95f357ad56","amotatadar@gmail.com","false"
"683c48ab5c9658330c34d25c","68455c79b5382e95f357ad57","2025-06-08T10:16:09.204Z","{""""field_1748781209339_aiqj7"""":"""""""",""""field_1748784488898_5xon0"""":""""""""}","IncidentStepExecution","684562d14d51cbbc240ba797_2_new","null","684562e908b02df5ccefc374","2025-06-08T10:16:09.649000","2025-06-08T10:16:09.649000","68455c79b5382e95f357ad56","amotatadar@gmail.com","false"
"683c4c9b3a737f6caaaf08d4","68455c79b5382e95f357ad57","2025-06-08T10:16:46.052Z","{""""field_1748782167978_kba8p"""":"""""""",""""field_1748782194228_s7ij4"""":"""""""",""""field_1748782218970_51n5j"""":""""""""}","IncidentStepExecution","684562d14d51cbbc240ba797_4_new","null","6845630e60a680929d0b6a29","2025-06-08T10:16:46.225000","2025-06-08T10:16:46.225000","68455c79b5382e95f357ad56","amotatadar@gmail.com","false"
"6832fe618fd6aab289817880","68455c79b5382e95f357ad57","2025-06-08T10:51:43.278Z","{""""field_1748172288534_gws46"""":[],""""field_1748172341559_wopg6"""":"""""""",""""field_1748172364097_xowv7"""":""""""""}","IncidentStepExecution","68456b3343c1f7992b370e72_1_new","null","68456b3fe6766fd47448d373","2025-06-08T10:51:43.871000","2025-06-08T10:51:43.871000","68455c79b5382e95f357ad56","amotatadar@gmail.com","false"
